codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf
131393  ,1.0,1,66.0,2,2,6,1,0.0,2950.0
131393  ,1.0,2,61.0,2,2,4,3,2,2950.0
131416  ,1.0,1,28.0,1,1,6,1,0.0,266.6666666666667
131416  ,1.0,2,27.0,1,1,6,3,4,266.6666666666667
131416  ,1.0,2,1.0,5,1,7,4,5,266.6666666666667
131548  ,1.0,1,29.0,2,1,2,1,0.0,529.3333333333334
131548  ,1.0,2,32.0,2,1,4,1,0.0,529.3333333333334
131548  ,1.0,2,3.0,5,1,7,4,5,529.3333333333334
131685  ,1.0,2,92.0,4,1,2,3,1,425.0
131752  ,1.0,1,56.0,2,1,4,1,0.0,391.6666666666667
131752  ,1.0,2,55.0,2,1,2,3,4,391.6666666666667
131752  ,1.0,1,20.0,5,1,3,1,0.0,391.6666666666667
131752  ,1.0,2,20.0,5,1,3,2,0.0,391.6666666666667
131752  ,1.0,2,27.0,5,1,5,1,0.0,391.6666666666667
131752  ,1.0,2,0,5,1,7,4,5,391.6666666666667
131837  ,1.0,1,74.0,2,1,4,1,0.0,550.0
131837  ,1.0,2,65.0,2,1,4,1,0.0,550.0
132112  ,1.0,1,59.0,2,1,2,1,0.0,520.625
132112  ,1.0,2,57.0,2,1,2,1,0.0,520.625
132112  ,1.0,2,26.0,5,4,4,1,0.0,520.625
132112  ,1.0,1,24.0,5,4,2,1,0.0,520.625
132112  ,1.0,1,17.0,5,1,3,3,3,520.625
132112  ,1.0,2,23.0,3,4,2,2,0.0,520.625
132112  ,1.0,2,4.0,5,1,7,4,5,520.625
132112  ,1.0,1,1.0,5,4,7,4,5,520.625
132202  ,1.0,1,40.0,1,1,3,1,0.0,420.0
132202  ,1.0,2,48.0,1,1,3,1,0.0,420.0
132202  ,1.0,2,28.0,5,1,4,1,0.0,420.0
132202  ,1.0,1,16.0,5,1,4,3,7,420.0
132202  ,1.0,2,9.0,5,1,1,4,3,420.0
132463  ,1.0,1,83.0,5,12,4,3,1,350.0
132463  ,1.0,2,86.0,5,12,2,3,4,350.0
132791  ,1.0,1,26.0,1,4,3,1,0.0,200.0
132791  ,1.0,2,22.0,1,4,3,3,4,200.0
132791  ,1.0,2,3.0,5,4,7,4,5,200.0
132907  ,1.0,1,65.0,2,4,4,3,7,200.0
132907  ,1.0,2,62.0,2,1,6,1,0.0,200.0
132929  ,1.0,1,34.0,2,1,3,1,0.0,262.5
132929  ,1.0,2,32.0,2,1,4,1,0.0,262.5
132929  ,1.0,2,13.0,5,1,3,3,3,262.5
132929  ,1.0,1,6.0,5,1,1,4,3,262.5
133114  ,1.0,1,38.0,2,1,2,1,0.0,302.5
133114  ,1.0,2,31.0,2,1,2,3,4,302.5
133114  ,1.0,2,12.0,5,1,3,3,3,302.5
133114  ,1.0,1,9.0,5,1,1,4,3,302.5
133227  ,1.0,2,75.0,4,1,4,3,1,525.5
133227  ,1.0,2,48.0,3,1,6,1,0.0,525.5
133430  ,1.0,2,48.0,1,1,6,1,0.0,433.3333333333333
133430  ,1.0,1,56.0,1,1,5,1,0.0,433.3333333333333
133430  ,1.0,2,11.0,5,1,1,3,3,433.3333333333333
133492  ,1.0,1,32.0,5,4,3,1,0.0,715.0
133492  ,1.0,1,32.0,5,1,4,1,0.0,715.0
133631  ,1.0,1,45.0,2,4,2,1,0.0,170.5
133631  ,1.0,2,53.0,2,4,3,3,4,170.5
133631  ,1.0,1,13.0,5,4,3,3,3,170.5
133631  ,1.0,2,73.0,4,4,1,3,1,170.5
133681  ,1.0,1,39.0,2,2,4,1,0.0,625.0
133681  ,1.0,2,37.0,2,2,4,1,0.0,625.0
133681  ,1.0,1,15.0,5,2,3,3,3,625.0
133681  ,1.0,2,13.0,5,2,2,3,3,625.0
133907  ,1.0,2,37.0,2,1,4,1,0.0,250.0
133907  ,1.0,2,64.0,4,4,2,2,0.0,250.0
134264  ,1.0,2,21.0,5,1,5,3,3,500.0
134264  ,1.0,2,19.0,5,1,5,2,0.0,500.0
135225  ,1.0,1,92.0,2,1,3,3,1,1150.0
135225  ,1.0,2,78.0,2,1,3,3,4,1150.0
135693  ,1.0,2,52.0,3,4,2,3,4,75.0
135693  ,1.0,1,13.0,5,4,1,3,3,75.0
136089  ,1.0,1,40.0,1,1,6,1,0.0,2850.0
136089  ,1.0,2,39.0,1,1,6,1,0.0,2850.0
136339  ,1.0,2,48.0,5,12,4,1,0.0,1800.0
136365  ,2.0,1,35.0,1,4,2,1,0.0,100.0
136365  ,2.0,2,30.0,1,4,1,3,4,100.0
136365  ,2.0,2,7.0,5,4,1,4,3,100.0
137044  ,1.0,1,65.0,2,2,6,3,1,783.3333333333334
137044  ,1.0,2,56.0,2,2,6,3,4,783.3333333333334
137044  ,1.0,1,32.0,5,2,6,1,0.0,783.3333333333334
137188  ,1.0,2,60.0,2,4,2,3,4,267.5
137188  ,1.0,1,26.0,5,1,5,1,0.0,267.5
137188  ,1.0,2,29.0,5,1,5,1,0.0,267.5
137393  ,1.0,2,51.0,3,1,2,3,4,125.0
137393  ,1.0,2,27.0,2,4,3,1,0.0,125.0
137393  ,1.0,1,24.0,5,1,5,1,0.0,125.0
137393  ,1.0,2,22.0,5,1,3,3,4,125.0
137393  ,1.0,2,15.0,5,1,3,3,3,125.0
137393  ,1.0,1,35.0,2,4,4,2,0.0,125.0
137393  ,1.0,2,5.0,5,4,7,4,5,125.0
137393  ,1.0,2,3.0,5,4,7,4,5,125.0
137528  ,1.0,1,27.0,5,2,5,1,0.0,1700.0
138397  ,1.0,1,61.0,3,1,4,1,0.0,750.0
138397  ,1.0,1,18.0,5,1,5,3,3,750.0
138760  ,1.0,1,34.0,2,1,6,1,0.0,1800.0
138760  ,1.0,2,32.0,2,1,6,1,0.0,1800.0
138760  ,1.0,2,3.0,5,1,7,4,5,1800.0
138793  ,1.0,1,36.0,2,4,4,1,0.0,200.0
138793  ,1.0,2,36.0,2,4,4,3,4,200.0
138793  ,1.0,2,10.0,5,4,1,3,3,200.0
138793  ,1.0,1,8.0,5,4,1,4,3,200.0
138793  ,1.0,1,3.0,5,4,7,4,5,200.0
138885  ,1.0,1,34.0,1,12,4,1,0.0,300.0
138885  ,1.0,2,31.0,1,4,6,3,4,300.0
139136  ,1.0,1,35.0,2,2,4,1,0.0,233.33333333333334
139136  ,1.0,2,39.0,2,2,4,2,0.0,233.33333333333334
139136  ,1.0,1,0,5,2,7,4,5,233.33333333333334
139485  ,1.0,2,73.0,5,1,6,3,1,823.0
140322  ,1.0,1,51.0,2,12,6,1,0.0,247.33333333333334
140322  ,1.0,2,52.0,2,12,5,3,3,247.33333333333334
140322  ,1.0,2,25.0,5,2,5,1,0.0,247.33333333333334
140322  ,1.0,2,20.0,3,2,3,3,4,247.33333333333334
140322  ,1.0,2,20.0,5,2,3,3,3,247.33333333333334
140322  ,1.0,1,1.0,5,2,7,4,5,247.33333333333334
140413  ,1.0,1,30.0,1,1,4,1,0.0,1167.3333333333333
140413  ,1.0,2,26.0,1,1,6,1,0.0,1167.3333333333333
140413  ,1.0,2,1.0,5,1,7,4,5,1167.3333333333333
140439  ,1.0,2,86.0,4,1,1,3,1,450.0
140621  ,1.0,2,82.0,4,1,4,3,1,670.0
140644  ,1.0,1,27.0,1,1,4,1,0.0,900.0
140644  ,1.0,2,28.0,1,1,4,3,7,900.0
140826  ,1.0,1,26.0,5,1,5,1,0.0,975.0
141485  ,1.0,2,82.0,4,1,2,3,1,1900.0
141530  ,1.0,2,40.0,5,2,5,1,0.0,1000.0
141616  ,1.0,2,73.0,4,4,2,1,0.0,232.0
141616  ,1.0,2,54.0,4,1,2,1,0.0,232.0
141616  ,1.0,2,15.0,5,1,3,3,3,232.0
141616  ,1.0,2,13.0,5,1,1,3,3,232.0
141616  ,1.0,2,21.0,5,4,3,1,0.0,232.0
141767  ,1.0,1,64.0,2,1,1,1,0.0,680.0
141767  ,1.0,2,66.0,2,1,2,3,1,680.0
141767  ,1.0,1,33.0,5,1,6,1,0.0,680.0
141769  ,1.0,1,62.0,1,2,6,1,0.0,1577.5
141769  ,1.0,2,59.0,1,2,5,3,1,1577.5
141769  ,1.0,1,27.0,5,2,6,1,0.0,1577.5
141769  ,1.0,1,23.0,5,2,5,2,0.0,1577.5
142257  ,1.0,2,44.0,3,1,6,1,0.0,569.6666666666666
142257  ,1.0,2,13.0,5,1,3,3,3,569.6666666666666
142257  ,1.0,2,11.0,5,1,1,3,3,569.6666666666666
142900  ,2.0,2,62.0,4,1,2,3,1,610.0
143370  ,1.0,1,64.0,2,1,3,3,1,1165.0
143370  ,1.0,2,64.0,2,1,5,3,1,1165.0
143386  ,1.0,2,85.0,4,1,2,3,1,700.0
