codusu,nro_hogar,edad,ingreso,componente,varon,mujer,con_pareja,sin_pareja,si_cobertura,no_cobertura,prim_inc,prim_com,sec_inc,sec_com,uni_inc,uni_comp,sin_instrucc,estado_desocupado,estado_inactivo,estado_menor de 10 años,estado_no respuesta,estado_ocupado,inactividad_ama de casa,inactividad_discapacitado,inactividad_estudiante,inactividad_jubilado/pensionado,inactividad_menor de 6 años,inactividad_otros,inactividad_rentista
TQRMNOSUWHLKMUCDEIJAH00855260,1.0,85,0.0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQSMNORWVHLLKQCDEIJAH00856914,1.0,26,500000.0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPTWHJLQRCDEIJAH00795141,1.0,66,1620000.0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOSTUHMMQTCDEIJAH00802466,1.0,10,0.0,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOSTUHMMQTCDEIJAH00802466,1.0,5,0.0,3,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
TQRMNOQVXHMOQPCDEIJAH00801978,1.0,49,0.0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TQRMNOQVXHMOQPCDEIJAH00801978,1.0,25,0.0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
TQRMNOQVXHMOQPCDEIJAH00801978,1.0,20,0.0,4,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TQRMNOTPRHMOQQCDEIJAH00807721,1.0,56,350000.0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPWQHMKRLCDEIJAH00801957,1.0,61,135000.0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNOQURHKLSPCDEIJAH00856901,1.0,62,0.0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOQURHKLSPCDEIJAH00856901,1.0,62,0.0,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNOPPYHJMTRCDEIJAH00793353,1.0,77,160000.0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNOPPYHJMTRCDEIJAH00793353,1.0,80,160000.0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TQRMNOQUPHKKSSCDEIJAH00856902,1.0,74,0.0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TQRMNORWVHJMOLCDEIJAH00794542,1.0,78,292500.0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNORWVHJMOLCDEIJAH00794542,1.0,75,292500.0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,62,131750.0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,58,131750.0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,26,131750.0,3,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,15,131750.0,4,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNORRXHJOOMCDEIJAH00794543,1.0,56,0.0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNORRXHJOOMCDEIJAH00794543,1.0,48,0.0,2,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TQRMNORRXHJOOMCDEIJAH00794543,1.0,14,0.0,4,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOQRSHJOOQCDEIJAH00856907,1.0,47,0.0,2,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOQWQHLLKNCDEIJAH00855551,1.0,15,0.0,2,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOQWQHLLKNCDEIJAH00855551,1.0,11,0.0,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOTPRHJOKPCDEIJAH00794475,1.0,65,160000.0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNOSSWHJKKUCDEIJAH00795543,1.0,71,170000.0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOSSWHJKKUCDEIJAH00795543,1.0,70,170000.0,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNORUVHJOLLCDEIJAH00802588,1.0,45,160000.0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNOQQXHKOOMCDEIJAH00856946,1.0,51,1200000.0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOSUUHKMNRCDEIIAD00856929,1.0,64,256000.0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOSUUHKMNRCDEIIAD00856929,1.0,51,256000.0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOSUUHKMNRCDEIIAD00856929,1.0,15,256000.0,3,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNORUWHMMKOCDEIJAH00801934,1.0,82,162500.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNORUWHMMKOCDEIJAH00801934,1.0,71,162500.0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNOTPPHLMNOCDEIJAH00855263,1.0,70,216000.0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOTPPHLMNOCDEIJAH00855263,1.0,71,216000.0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNOPUWHJMSUCDEIJAH00802260,1.0,6,0.0,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TQRMNOPUWHJMSUCDEIJAH00802260,1.0,74,0.0,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TQRMNOTVQHKNRPCDEIJAH00859105,1.0,39,33250.0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOTVQHKNRPCDEIJAH00859105,1.0,17,33250.0,2,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
