codusu,nro_hogar,edad,ingreso,componente,varon,mujer,con_pareja,sin_pareja,si_cobertura,no_cobertura,prim_inc,prim_com,sec_inc,sec_com,uni_inc,uni_comp,sin_instrucc,estado_desocupado,estado_inactivo,estado_menor de 10 años,estado_no respuesta,estado_ocupado,inactividad_ama de casa,inactividad_discapacitado,inactividad_estudiante,inactividad_jubilado/pensionado,inactividad_menor de 6 años,inactividad_otros,inactividad_rentista
TQRMNOTVQHKNRPCDEIJAH00859105,1.0,11,33250.0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOTVQHKNRPCDEIJAH00859105,1.0,8,33250.0,4,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TQRMNOTVQHKNRPCDEIJAH00859105,1.0,3,33250.0,5,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
TQRMNOTVQHKNRPCDEIJAH00859105,1.0,6,33250.0,6,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TQRMNOTVQHKNRPCDEIJAH00859105,1.0,1,33250.0,7,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
TQRMNOTVQHKNRPCDEIJAH00859105,1.0,32,33250.0,8,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOTVTHKNRPCDEIJAH00859106,1.0,60,263333.33,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOTVTHKNRPCDEIJAH00859106,1.0,61,263333.33,2,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOTVTHKNRPCDEIJAH00859106,1.0,22,263333.33,3,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOPXVHMMSUCDEIJAH00802308,1.0,44,30000.0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPXVHMMSUCDEIJAH00802308,1.0,37,30000.0,2,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNORWVHLMPPCDEIJAH00855371,1.0,61,80000.0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
TQRMNORWVHLMPPCDEIJAH00855371,1.0,65,80000.0,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TQRMNOPQPHJKQMCDEIJAH00797115,1.0,34,675000.0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNORUWHLKPRCDEIJAH00859107,1.0,45,760000.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPVUHMLPOCDEIJAH00802200,1.0,47,156666.67,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPVUHMLPOCDEIJAH00802200,1.0,21,156666.67,2,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TQRMNOPVUHMLPOCDEIJAH00802200,1.0,18,156666.67,3,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOSXUHMMPPCDEIJAH00802530,2.0,23,425000.0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOSXUHMMPPCDEIJAH00802530,2.0,24,425000.0,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPYSHKLPLCDEIJAH00859108,1.0,62,140000.0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPYSHKLPLCDEIJAH00859108,1.0,54,140000.0,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPYSHKLPLCDEIJAH00859108,1.0,25,140000.0,3,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPYSHKLPLCDEIJAH00859108,1.0,5,140000.0,4,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
TQRMNOPYSHKLPLCDEIJAH00859108,1.0,3,140000.0,5,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
TQRMNOPXVHLLTRCDEIJAH00855357,1.0,32,200000.0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPXWHLLTRCDEIJAH00855358,1.0,29,2250000.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPVPHKMLNCDEIJAH00859111,1.0,57,0.0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPVPHKMLNCDEIJAH00859111,1.0,56,0.0,2,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPVPHKMLNCDEIJAH00859111,1.0,25,0.0,5,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPVPHKMLNCDEIJAH00859111,1.0,22,0.0,7,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOQYSHLMLTCDEIJAH00855145,1.0,61,138000.0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNORSXHMNMLCDEIJAH00802194,1.0,35,40000.0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNORSXHMNMLCDEIJAH00802194,1.0,31,40000.0,2,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TQRMNORSXHMNMLCDEIJAH00802194,1.0,12,40000.0,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNORSXHMNMLCDEIJAH00802194,1.0,1,40000.0,4,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
TQRMNORSXHMNMLCDEIJAH00802194,1.0,11,40000.0,5,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNORSXHMNMLCDEIJAH00802194,1.0,7,40000.0,6,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TQRMNOQXWHKOMMCDEIJAH00859113,1.0,23,0.0,2,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPRVHKNQLCDEIJAH00859114,1.0,77,193000.0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNOPRVHKNQLCDEIJAH00859114,1.0,72,193000.0,2,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPRUHJMLSCDEIIAD00797121,1.0,64,503000.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOTRVHJOPSCDEIJAH00802254,1.0,45,94000.0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOTRVHJOPSCDEIJAH00802254,1.0,44,94000.0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOTRVHJOPSCDEIJAH00802254,1.0,17,94000.0,3,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOPSQHMOLTCDEIJAH00859570,1.0,40,0.0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQSMNOTVTHKMNQCDEIJAH00859571,1.0,62,213000.0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOSTVHLNRMCDEIJAH00855308,1.0,22,0.0,2,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOSTVHLNRMCDEIJAH00855308,1.0,19,0.0,3,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOSTVHLNRMCDEIJAH00855308,1.0,17,0.0,4,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOSTVHLNRMCDEIJAH00855308,1.0,8,0.0,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TQRMNORTXHLOSLCDEIJAH00855392,1.0,66,0.0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNORTXHLOSLCDEIJAH00855392,1.0,36,0.0,3,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNORTQHLOSNCDEIJAH00855350,1.0,26,126250.0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TQRMNORTQHLOSNCDEIJAH00855350,1.0,6,126250.0,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TQRMNORTQHLOSNCDEIJAH00855350,1.0,9,126250.0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TQRMNORTQHLOSNCDEIJAH00855350,1.0,28,126250.0,4,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQSMNOPPTHMMPTCDEIJAH00802204,1.0,27,135500.0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQSMNOPPTHMMPTCDEIJAH00802204,1.0,24,135500.0,2,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQSMNOPPTHMMPTCDEIJAH00802204,1.0,6,135500.0,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TQSMNOPPTHMMPTCDEIJAH00802204,1.0,5,135500.0,4,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
TQRMNOQXUHKMPSCDEIJAH00859627,1.0,83,114000.0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
TQRMNOQXUHKMPSCDEIJAH00859627,1.0,28,114000.0,2,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TQRMNOQXUHKMPSCDEIJAH00859627,1.0,29,114000.0,3,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOQXUHKMPSCDEIJAH00859627,1.0,10,114000.0,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOQXUHKMPSCDEIJAH00859627,1.0,5,114000.0,5,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
TQRMNOQTQHKNQLCDEIJAH00859628,1.0,43,0.0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TQRMNOQTQHKNQLCDEIJAH00859628,1.0,45,0.0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOQTQHKNQLCDEIJAH00859628,1.0,22,0.0,4,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOQTQHKNQLCDEIJAH00859628,1.0,5,0.0,5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
TQRMNOTRUHJLKTCDEIIAD00859147,1.0,33,380000.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPSUHKLKUCDEIIAD00859148,1.0,73,0.0,3,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
TQRMNOPSTHLLTTCDEIJAH00855414,1.0,41,155000.0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPSTHLLTTCDEIJAH00855414,1.0,44,155000.0,2,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPSTHLLTTCDEIJAH00855414,1.0,7,155000.0,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TQRMNOPSTHLLTTCDEIJAH00855414,1.0,5,155000.0,4,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
TQRMNORVQHKLTSCDEIJAH00859160,1.0,72,175000.0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNORVQHKLTSCDEIJAH00859160,1.0,71,175000.0,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TQRMNORVTHKNTUCDEIJAH00859161,1.0,77,0.0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TQRMNOPRPHLOTUCDEIJAH00859162,1.0,64,0.0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNOPRPHLOTUCDEIJAH00859162,1.0,58,0.0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNORRXHLKORCDEIJAH00859163,1.0,43,280000.0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNORRXHLKORCDEIJAH00859163,1.0,84,280000.0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TQSMNOPVWHLKPLCDEIJAH00855424,1.0,77,810000.0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQSMNOPVWHLKPLCDEIJAH00855424,1.0,73,810000.0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOWRPHKOPNCDEIJAH00859154,1.0,53,190000.0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPYTHJOQOCDEIJAH00802203,1.0,29,200000.0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPYTHJOQOCDEIJAH00802203,1.0,34,200000.0,2,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TQRMNOPYTHJOQOCDEIJAH00802203,1.0,18,200000.0,3,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOPYTHJOQOCDEIJAH00802203,1.0,16,200000.0,4,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOPYTHJOQOCDEIJAH00802203,1.0,14,200000.0,5,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOPYTHJOQOCDEIJAH00802203,1.0,11,200000.0,6,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOQQXHMLPSCDEIJAH00859155,1.0,53,0.0,2,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
TQRMNOQQXHMLPSCDEIJAH00859155,1.0,27,0.0,3,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOQQXHMLPSCDEIJAH00859155,1.0,18,0.0,5,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOQQXHMLPSCDEIJAH00859155,1.0,16,0.0,6,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOQQXHMLPSCDEIJAH00859155,1.0,14,0.0,7,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNORYYHMLPSCDEIJAH00802004,1.0,39,0.0,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TQRMNORYYHMLPSCDEIJAH00802004,1.0,16,0.0,4,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNORYYHMLPSCDEIJAH00802004,1.0,9,0.0,5,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TQRMNORYYHMLPSCDEIJAH00802004,1.0,3,0.0,6,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
TQRMNOSYPHLKQMCDEIJAH00855386,1.0,43,1070000.0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOTRRHMMQLCDEIJAH00801888,1.0,80,91000.0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNOTRRHMMQLCDEIJAH00801888,1.0,78,91000.0,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TQRMNOTRRHMMQLCDEIJAH00801888,1.0,37,91000.0,3,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOTRRHMMQLCDEIJAH00801888,1.0,37,91000.0,4,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNOQUPHKOPTCDEIJAH00859156,1.0,57,0.0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNORRQHJMQTCDEIJAH00796919,1.0,52,192500.0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNORRQHJMQTCDEIJAH00796919,1.0,49,192500.0,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TQRMNORRQHJMQTCDEIJAH00796919,1.0,25,192500.0,3,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
TQRMNORRQHJMQTCDEIJAH00796919,1.0,13,192500.0,4,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TQRMNOSQXHJMQUCDEIJAH00855443,1.0,23,0.0,5,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
